"appId","title","abstract","origin","background","citedBy","citations","filingDate"
"US5710377A","Ultrasonic leak detection system","A system for imaging a flame and the background scene. The flame imaging system consists of two charge-coupled-device (CCD) cameras. One camera uses a 800 nm long pass filter which during overcast conditions blocks sufficient background light so the hydrogen flame is brighter than the background light, and the second CCD camera uses a 1100 nm long pass filter, which blocks the solar background in full sunshine conditions such that the hydrogen flame is brighter than the solar background. Two electronic viewfinders convert the signal from the cameras into a visible image. The operator can select the appropriate filtered camera to use depending on the current light conditions. In addition, a narrow band pass filtered InGaAs sensor at 1360 nm triggers an audible alarm and a flashing LED if the sensor detects a flame, providing additional flame detection so the operator does not overlook a small flame.
  ","The invention described herein was made in the performance of work for the U.S. Government under a NASA contract, and is subject to the provisions of Public Law 96-517 (35 USC 202) in which the contractor has elected not to retain title.","Detectors which employ ultrasonic transducers to sense ultrasonic vibrations generated by small leaks in pressurized systems, containers, pipes, etc., are well known. Examples of such detectors may be found in U.S. Pat. Nos. 3,222,635, 3,289,465, 4,635,042 and 5,341,670. Typically, these detectors employ a hand held transducer which is held by an operator near the surface to be inspected. Ultrasonic vibrations detected by the transducer are fed through processing circuitry which usually converts them to audio frequency signals that can be heard by the operator through headphones or a speaker, for example.","17","21","1995-10-17"
"US5726632A","Flame imaging system","A gas-liquid cleaning spray system employs one or more converging-diverging nozzles to accelerate a gas-liquid mixture to a supersonic velocity for cleaning various types of articles, such as mechanical, electrical and fluid components. The gas, such as air or nitrogen, is supplied at high pressure to a nozzle body where it is mixed with cleaning liquid, such as water or liquid detergent, which is supplied to the nozzle body at a relatively low flow rate. Acceleration of the gas-liquid mixture to a supersonic velocity eliminates the need for a high pressure, high flow rate and high volume liquid supply. After the components are contacted with the gas-liquid mixture, the cleaning liquid can be recaptured and analyzed for cleanliness verification of the components.
  ","The invention described herein was made in the performance of work under a National Aeronautics and Space Administration (""NASA"") contract and is subject to the provisions of Section 305 of the National Aeronautics and Space Act of 1958, Public Law 85-568 (72 Stat. 435; 42 U.S.C. 2457).","Non-imaging fire detectors are available that can sense the presence of a hydrogen flame, but these detectors do not display the size and location of the fire. Commercial imaging devices are also available, but they produce a thermal image that often exaggerate the size of the flame and require a skilled operator to interpret. In addition, the thermal imagers are expensive and are not designed for portable operation in emergency situations or hazardous environments.","12","16","1996-03-13"
"US5730806A","Gas-liquid supersonic cleaning and cleaning verification spray system","A method and system are provided to detect defects in a material. Waves of known frequency(ies) are mixed at an interaction zone in the material. As a result, at least one of a difference wave and a sum wave are generated in the interaction zone. The difference wave occurs at a difference frequency and the sum wave occurs at a sum frequency. The amplitude of at least one nonlinear signal based on the sum and/or difference waves is then measured. The nonlinear signal is defined as the amplitude of one of the difference wave and sum wave relative to the product of the amplitude of the surface waves. The amplitude of the nonlinear signal is an indication of defects (e.g., dislocation dipole density) in the interaction zone.
  ","The present invention was made by employees of the United States Government and may be manufactured and used by or for the government for government purposes without the payment of any royalties thereon or therefor.","1. Field of the Invention","39","37","1993-08-30"
"US5736642A","Nonlinear ultrasonic scanning to detect material defects","Tough, soluble, aromatic, thermoplastic copolyimides were prepared by reacting 4,4'-oxydiphthalic anhydride, 3,4,3',4'-biphenyltetracarboxylic dianhydride and 3,4'-oxydianiline. These copolyimides were found to be soluble in common amide solvents such as N,N'-dimethyl acetamide, N-methylpyrrolidinone, and dimethylformamide allowing them to be applied as the fully imidized copolymer and to be used to prepare a wide range of articles.
  ","The invention described herein was made by employees of the United States Government and may be manufactured and used by or for the Government for governmental purposes without the payment of any royalties thereon or therefor.","This invention relates to detecting material defects. More specifically, the invention is a method and system of detecting dislocations and defects in a material caused by fatigue, heat treatment anomalies or other consequences of process and use.","32","13","1997-01-08"
"US5741883A","Tough, soluble, aromatic, thermoplastic copolyimides","This invention relates to a periodontal structure mapping system employing a dental handpiece containing first and second acoustic sensors for locating the Cemento-Enamel Junction (CEJ) and measuring the differential depth between the CEJ and the bottom of the periodontal pocket. Measurements are taken at multiple locations on each tooth of a patient, observed, analyzed by an optical analysis subsystem, and archived by a data storage system for subsequent study and comparison with previous and subsequent measurements. Ultrasonic transducers for the first and second acoustic sensors are contained within the handpiece and in connection with a control computer. Pressurized water is provided for the depth measurement sensor and a linearly movable probe sensor serves as the sensor for the CEJ finder. The linear movement of the CEJ sensor is obtained by a control computer actuated by the prober. In an alternate embodiment the CEJ probe is an optical fiber sensor with appropriate analysis structure provided therefor.
  ","The invention described herein was made by an employee of the United States Government, and may be manufactured and used by or for the Government without payment of any royalties thereon or therefor.","The present invention relates to copolyimides. In particular, it relates to soluble copolyimides prepared from 4,4'-oxydiphthalic anhydride, 3,4,3',4'-biphenyltetracarboxylic dianhydride and 3,4'-oxydianiline.","16","3","1994-12-16"
"US5755571A","Differential measurement periodontal structures mapping system","An apparatus and method for measuring the relative phase of echo signals in a multiple-echo system. A signal generator generates an exciting tone burst and subsequent tone bursts delayed in phase from the exciting tone burst. The exciting tone burst is gated into a transducer coupled to the multiple-echo system. Each subsequent tone burst is converted into a series of pulses. Each pulse triggers a sample/hold circuit to sample each echo signal. The samples of the echo signal are averaged and then compared to a reference value. The signal generator is controlled to vary the subsequent tone burst phase delay to determine for each echo signal a subsequent tone burst phase delay that causes the average of the samples of the echo signal to be substantially equal to the reference value wherein the determined subsequent tone burst phase delay is the phase delay of the echo signal with respect to the exciting tone burst. The control circuit then determines the difference in phase delay between echo signals to determine the relative phase delay of the echo signals.
  ","The invention described herein was made in the performance of work under a NASA Contract and is subject to the provisions of Section 305 of the National Aeronautics and Space Act of 1958, as amended, Public Law 85-568 (72 Stat. 435; 42 USC 2457).","Periodontal disease is the single most pervasive dental disease, and is the leading cause of tooth loss for adults over 35 years of age. The principal mechanisms by which periodontal disease causes tooth loss are erosion of the periodontal ligament which holds each tooth into its socket and then erosion of the actual bone of the socket so that the tooth gradually loses its supporting structure. The disease typically proceeds from an increased concentration of bacteria in the normal sulcus (pocket) formed where the gingival epithelium folds downward along the tooth face at the abutment point. The sulcus is normally quite shallow and 1-2 mm of depth is not cause for concern. Periodontal disease can be quite localized and is not painful in the early stages. The progression of the disease can cause rapid, localized deepening of the pocket. The pocket will later become inflamed, pus filled, and prone to bleeding when the teeth are brushed or probed by a dentist.","27","11","1996-09-09"
"US5771204A","Apparatus and method for measuring relative phase of signals in a multiple-echo system","In accordance with the present invention, biologically active protein fragments can be constructed which contain only those specific portions of the serum albumin family of proteins such as regions known as subdomains IIA and IIIA which are primarily responsible for the binding properties of the serum albumins. The artificial serums that can be prepared from these biologically active protein fragments are advantageous in that they can be produced much more easily than serums containing the whole albumin, yet still retain all or most of the original binding potential of the full albumin proteins. In addition, since the protein fragment serums of the present invention can be made from non-natural sources using conventional recombinant DNA techniques, they are far safer than serums containing natural albumin because they do not carry the potentially harmful viruses and other contaminants that will be found in the natural substances.
  ","The invention described herein was made by an employee of the United States Government and may be used by or for the Government for governmental purposes without the payment of any royalties thereon or therefor.","This application claims the benefit of U.S. Provisional application Ser. No. 60/022,523 filed on Jul. 18, 1996.","3","4","1996-07-18"
"US5780594A","Biologically active protein fragments containing specific binding regions of serum albumin or related proteins","An apparatus and method for measuring strain of gratings written into an optical fiber. Optical radiation is transmitted over a plurality of contiguous predetermined wavelength ranges into a reference optical fiber network and an optical fiber network under test to produce a plurality of reference interference fringes and measurement interference fringes, respectively. The reference and measurement fringes are detected and sampled such that each sampled value of the reference and measurement fringes is associated with a corresponding sample number. The wavelength change of the reference optical fiber, for each sample number, due to the wavelength of the optical radiation is determined. Each determined wavelength change is matched with a corresponding sampled value of each measurement fringe. Each sampled measurement fringe of each wavelength sweep is transformed into a spatial domain waveform. The spatial domain waveforms are summed to form a summation spatial domain waveform that is used to determine location of each grating with respect to a reference reflector. A portion of each spatial domain waveform that corresponds to a particular grating is determined and transformed into a corresponding frequency spectrum representation. The strain on the grating at each wavelength of optical radiation is determined by determining the difference between the current wavelength and an earlier, zero-strain wavelength measurement.
  ","This application is a continuation of application Ser. No. 08/024,547, filed Mar. 1, 1993, now abandoned.","The serum albumins belong to a multigene family of proteins that includes alpha-fetoprotein (AFP) and human group-specific component (Gc) or vitamin D-binding protein. The members of this multigene family are typically comprised of relatively large multi-domain proteins, and the serum albumins are major soluble protein constituents of the circulatory system which have many physiological functions. The albumins and their related proteins contribute significantly to colloid osmotic blood pressure and aid in the transport, distribution and metabolism of many endogenous and exogenous ligands. These ligands represent a spectrum of chemically diverse molecules, including fatty acids, amino acids (notably tryptophan and cysteine), steroids, metals such as calcium, copper and zinc, and numerous pharmaceuticals. They are thought to facilitate transfer of many ligands across organ-circulatory interfaces such as the liver, intestine, kidney and brain, and evidence suggests the existence of an albumin cell surface receptor (see Schnitzer et al., PNAS 85:6773 (1988)).","25","0","1993-03-01"
"US5798521A","Apparatus and method for measuring strain in bragg gratings","Methods of forming multi-lamellar microcapsules having alternating layers of hydrophilic and hydrophobic immiscible liquid phases have been developed using different polymer/solvent systems. The methods use liquid-liquid diffusion and simultaneous lateral phase separation, controlled by proper timed-sequence exposures of immiscible phases and low shear mixing, to form narrow size distributions of spherical, multilamellar microcapsules. The use of special formulations of solubilized drugs, surfactants, and polymeric co-surfactants in aqueous vehicles which are dispersed in hydrocarbon solvents containing small quantities of oil, low molecular weight co-surfactants and glycerides that are aqueous insoluble enables the formation of unique microcapsules which can carry large amounts of pharmaceuticals in both aqueous and non-aqueous solvent compartments. The liquid microcapsules are quickly formed in a single step and can include a polymeric outer ""skin"" which protects the microcapsules during physical manipulation or exposure to high shear forces. Water-in-oil and oil-in-water microcapsules have been formed both in 1×g and in microgravity, which contain several types of drugs co-encapsulated within different fluid compartments inside the same microcapsule. Large, spherical multi-lamellar microcapsules have been formed including a cytotoxic drug co-encapsulated with a radiocontrast medium which has advantages for chemoembolization of vascular tumors. In certain cases, crystals of the drug form inside the microcapsules providing zero-order and first order, sustained drug release kinetics.
  ","This application claims the benefit of co-pending U.S. provisional application Ser. No. 60/012,356, filed Feb. 27, 1996.","1. Field of the Invention","117","14","1996-02-27"
"US5827531A","Microcapsules and methods for making","A measuring apparatus uses a variable and fixed frequency pulsed phase locked loop to measure the phase shift caused by a delay path to a high degree of accuracy. This accurate measurement of total phase change through greater than 360 degrees allows the apparatus to measure strain in bolts or other materials. The apparatus is able to identify features on a waveform through pattern recognition, and measure untracked phase differences with better reliability than simple thresholding techniques permit.
  ","The invention described herein may be manufactured and used by or for the Government of the United States of America for governmental purposes without the payment of any royalties thereon or therefor.","The invention relates to methods for making microcapsules, encapsulating pharmaceutical compounds in microcapsules, microcapsules, microcapsule encapsulated pharmaceutical compositions and products, and methods of using the same.","145","10","1994-12-02"
"US5841032A","Variable and fixed frequency pulsed phase locked loop","Artificial high-fidelity three-dimensional human urogenital tract carcinomas are propagated under in vitro-microgravity conditions from carcinoma cells. Artificial high-fidelity three-dimensional human urogenital tract carcinomas are also propagated from a coculture of normal urogenital tract cells inoculated with carcinoma cells. The microgravity culture conditions may be microgravity or simulated microgravity created in a horizontal rotating wall culture vessel.
  ","This application claims the benefit of U.S. Provisional application Ser. No. 60/013,216, filed Feb. 2, 1996.","The invention described herein was made by an employee of the United States Government and may be manufactured and used by the government for governmental purposes without the payment of any royalties thereon or therefor.","8","5","1996-02-02"
"US5851816A","Cultured high-fidelity three-dimensional human urogenital tract carcinomas and process","A self lubricating, friction and wear reducing composite material useful over a wide temperature range of from cryogenic temperature up to about 900° C. contains 60-80 wt. % of particulate Cr2 O3, dispersed in a metal binder of a metal alloy containing Cr and at least 50 wt. % of Ni, Cr or a mixture of Ni and Cr. It also contains 5-20 wt. % of a fluoride of at least one Group I, Group II, or rare earth metal and, optionally, 5-20 wt. % of a low temperature lubricant metal. Such as Ag, Au, Pt, Pd, Rh and Cu. This composite exhibits less oxidation instability and less abrasiveness than composites containing chromium carbide, is readily applied using plasma spray and can be ground and polished with a silicon carbide abrasive.
  ","The invention described herein was made in the performance of work under a National Aeronautics and Space Administration (NASA) contract and is subject to the provisions of Section 305 of the National Aeronautics and Space Act of 1958, Public Law 85-568 (72 Stat. 435; 42 U.S.C. 2457).","The invention relates to the production of high-fidelity three-dimensional human urogenital tract carcinomas from a culture of carcinoma cells maintained in a fluid culture media contained in a microgravity vessel. High-fidelity three-dimensional human-urogenital tract carcinomas were also cultured from a coculture of normal cells inoculated with carcinoma cells in fluid media contained in a microgravity vessel.","19","13","1988-06-30"
"US5866518A","Self-lubricating composite containing chromium oxide","The metastatic potential of tumors can be evaluated by the quantitative detection of urokinase and DNA. The cell sample selected for examination is analyzed for the presence of high levels of urokinase and abnormal DNA using analytical flow cytometry and digital image analysis. Other factors such as membrane associated urokinase, increased DNA synthesis rates and certain receptors can be used in the method for detection of potentially invasive tumors.
  ","The invention described herein was made by employees of the United States Government and may be manufactured and used by or for the Government for Government purposes without the payment of any royalties thereon or therefor.","The invention relates to a self-lubricating solid composite comprising chromium oxide dispersed in a metal binder. More particularly the invention relates to a friction reducing and wear resistant solid lubricant composite comprising Cr2 O3 in a metal binder, along with metal fluoride and, optionally, a metal effective as a lubricant at low temperature, for use over a wide temperature spectrum from cryogenic (-185° C.) temperature to about 900° C.","37","9","1997-01-16"
"US5869238A","Quantitative method of measuring metastatic activity","An automated propellant blending apparatus and method uses closely metered addition of countersolvent to a binder solution with propellant particles dispersed therein to precisely control binder precipitation and particle aggregation. A profile of binder precipitation versus countersolvent-solvent ratio is established empirically and used in a computer algorithm to establish countersolvent addition parameters near the cloud point for controlling the transition of properties of the binder during agglomeration and finishing of the propellant composition particles. The system is remotely operated by computer for safety, reliability and improved product properties, and also increases product output.
  ","The invention described herein was made by an employee of the United States Government and may be manufactured and used by or for the Government of the United States of America for governmental purposes without the payment of any royalties thereof or therefor.","Tumor cells of some cancers secrete enzymes that break down the intracellular matrix and invade adjacent tissues. The production of serine protease enzymes such as plasminogen activator enzymes have been observed in connection with the metastasis of tumor cells into healthy tissues. Plasminogen activator, enzymes have been linked to cancer detection, using assays of enzymes extracted from the tumor cells (Camiolo, S. M., Markus, G. and Piver, M. S. ""Plasminogen activator content of gynecological tumors and their metastases."" Gynecolocical Oncology 26: 364-373, 1987) or assays of supernatants from tissue culture of the tumor cells. (Hasui, Y. et al., ""Comparative study of plasminogen activators in cancers and normal mucosa of human urinary bladder."" Cancer Research 49: 1067-1070, 1989. Harvey, S. R., et al., ""Secretion of plasminogen activators by human colorectal and gastric tumor explants."" Clin. Expl. Metastasis 6: 431-450, 1988.)","8","7","1993-07-27"
"US5879079A","Automated propellant blending","A means for detecting carbon monoxide which utilizes an un-heated catalytic material to oxidize carbon monoxide at ambient temperatures. Because this reaction is exothermic, a thermistor in contact with the catalytic material is used as a sensing element to detect the heat evolved as carbon monoxide is oxidized to carbon dioxide at the catalyst surface, without any heaters or external heating elements for the ambient air or catalytic element material. Upon comparison to a reference thermistor, relative increases in the temperature of the sensing thermistor correspond positively with an increased concentration of carbon monoxide in the ambient medium and are thus used as an indicator of the presence of carbon monoxide.
  ","The invention described herein was made in the performance of work under a NASA contract and is subject to the provisions of Section 305 of the National Aeronautics and Space Act of 1958, Public Law 85-568 (72 Stat. 435; 42 U.S.C. 2457).","Pyrotechnic compositions are used for may useful purposes. Such compositions are used in the aerospace industry to provide ignition, propulsion, vehicle separation, and emergency egress. The automotive industry also uses ignition and gas production compositions for occupant restraint systems, i.e. airbags. The demand for these pyrotechnic mixtures continues to grow.","25","19","1997-08-20"
"US5948965A","Solid state carbon monoxide sensor","A non-intrusive electrical cable tester determines the nature and location of a discontinuity in a cable through application of an oscillating signal to one end of the cable. The frequency of the oscillating signal is varied in increments until a minimum, close to zero voltage is measured at a signal injection point which is indicative of a minimum impedance at that point. The frequency of the test signal at which the minimum impedance occurs is then employed to determine the distance to the discontinuity by employing a formula which relates this distance to the signal frequency and the velocity factor of the cable. A numerically controlled oscillator is provided to generate the oscillating signal, and a microcontroller automatically controls operation of the cable tester to make the desired measurements and display the results. The device is contained in a portable housing which may be hand held to facilitate convenient use of the device in difficult to access locations.
  ","The invention described herein was jointly made by employees of the United States Government, contract employees during the performance of work under a NASA contract which is subject to the provisions of Public Law 95-517 (35 USC 202) in which the contractor has elected not to retain title, and an employee of Rochester Gas and Electric Corporation during the performance of work under a Memorandum of Agreement.","The current invention pertains generally to the field of sensors used in the detection of carbon monoxide. In particular, this invention pertains to the use of an unheated, platinized tin-oxide catalyst in a sensor which detects the presence of carbon monoxide in the atmosphere or other oxidant-containing medium.","17","11","1996-05-01"
